"original_order","fishery_id","temperature_change","temperature_change_normalized"
1,1,0.827186257000929,0.42361236393655
2,1,0.827186257000929,0.42361236393655
3,2,0.959842472860267,0.450167153672941
4,3,0.955894922029363,0.449376942813922
5,3,0.955894922029363,0.449376942813922
6,3,0.955894922029363,0.449376942813922
7,3,0.955894922029363,0.449376942813922
9,5,1.23209667467088,0.504666319332813
10,5,1.23209667467088,0.504666319332813
11,6,0.46119380585135,0.350348909808712
12,7,1.25711414447477,0.509674253910738
13,7,1.25711414447477,0.509674253910738
14,8,-0.915357100255951,0.0747943899068544
15,9,1.57620150074022,0.573548363376927
16,10,1.18479672784674,0.495197934196684
17,11,1.2605538623907,0.510362808046088
18,11,1.2605538623907,0.510362808046088
19,12,NA,NA
20,13,1.25469427239405,0.509189849965726
21,14,-0.701673032159678,0.11756913258706
22,15,1.51355352210798,0.561007647593558
23,16,0.944472508141213,0.447090432550404
24,17,2.15126455646672,0.688663048588327
25,18,1.10421589568996,0.479067464615253
26,19,1.08319423020325,0.474859400158626
27,20,-0.771195807166004,0.103652237248052
28,21,-0.39132854206538,0.179693116954592
29,22,0.725096262753283,0.403176244046698
30,22,0.725096262753283,0.403176244046698
31,23,-1.28899744277217,0
32,24,-1.14510048521228,0.0288049333154587
33,25,0.254118256590682,0.308897043912015
34,26,-1.11378077477781,0.0350744346713085
35,27,-1.20964003815755,0.0158855669138151
36,28,2.14976978040722,0.688363828052705
37,29,2.11076036666004,0.680555021106979
38,30,3.70656897579928,1
39,30,3.70656897579928,1
40,30,3.70656897579928,1
41,31,1.09141211313746,0.47650443542503
42,32,1.0349201359161,0.465196012618089
43,33,1.1948936427565,0.497219109387594
44,34,2.18150312031786,0.694716128723289
45,34,2.18150312031786,0.694716128723289
46,35,1.39243238382326,0.536761920855857
47,35,1.39243238382326,0.536761920855857
48,35,1.39243238382326,0.536761920855857
49,36,3.70656897579928,1
50,37,2.08782927929306,0.675964733350673
51,38,3.70656897579928,1
52,39,2.18150312031786,0.694716128723289
53,39,2.18150312031786,0.694716128723289
54,40,1.31035765208066,0.520332406189116
55,40,1.31035765208066,0.520332406189116
56,40,1.31035765208066,0.520332406189116
57,41,3.70656897579928,1
58,42,3.70656897579928,1
59,43,1.18792059911441,0.495823262939397
60,44,1.81894442066209,0.622140034387336
61,44,1.81894442066209,0.622140034387336
62,47,0.930515260939022,0.444296505689517
63,47,0.930515260939022,0.444296505689517
64,47,0.930515260939022,0.444296505689517
65,48,0.747055304540353,0.4075719501483
66,48,0.747055304540353,0.4075719501483
67,48,0.747055304540353,0.4075719501483
68,49,0.25477665592003,0.309028840644193
75,50,0.371252357796465,0.332344655532256
76,51,1.13190044246308,0.484609287994921
77,51,1.13190044246308,0.484609287994921
78,51,1.13190044246308,0.484609287994921
79,52,NA,NA
80,52,NA,NA
84,53,2.10811242229862,0.680024962222849
85,53,2.10811242229862,0.680024962222849
86,54,0.79975682088774,0.418121607971177
87,54,0.79975682088774,0.418121607971177
88,55,-0.545912846256063,0.148748817302003
89,56,1.20617100545804,0.499476583667111
90,57,0.208099582619866,0.299685140773316
91,58,1.55306511149249,0.568916978803254
92,59,0.944238690009052,0.447043627421101
93,59,0.944238690009052,0.447043627421101
94,60,1.59704362425085,0.57772048756952
95,60,1.59704362425085,0.57772048756952
96,60,1.59704362425085,0.57772048756952
97,61,1.50532265580408,0.559360013348662
100,63,NA,NA
101,64,NA,NA
102,64,NA,NA
103,65,NA,NA
104,65,NA,NA
105,65,NA,NA
106,66,1.59704362425085,0.57772048756952
107,67,NA,NA
108,67,NA,NA
109,68,1.74513014701948,0.607364077577272
110,69,-0.896083775842308,0.0786524758171913
111,69,-0.896083775842308,0.0786524758171913
112,70,1.62361946837543,0.583040373624039
113,70,1.62361946837543,0.583040373624039
114,70,1.62361946837543,0.583040373624039
115,71,1.22257827421134,0.502760949718637
