"original_order","entered_by","fishery_id","umbrella_organization","number_of_species","target_species","complete_name","fb_k_1_yr","fbk_category","fb_loo_cm","fb_habitat","fb_migration","fb_price","fb_price_quality","fb_environment","fb_trophic","fish_type","habitat","habitat_2","fished_habitat","diet","species_growth","adult_movement","discrete_movement","migratory","forms_aggregations","consistent_spawning_location","a_in_fishery","msc_certification","stock_assessment","recorded_fishery_closure","year","spawning_season","larval_dispersal_potential","known_spatial_structure","host_country","population","population_growth_rate","gdp_2009_us","gdp_from_fishing_us","percent_of_gdp_from_fishing","fishery_subsidies_prominent","subsidy_as_a_percent_of_landed_value","poverty_index","human_development_index","polity","institutional_stability","rule_of_law","contract_enforcement_rank","corruption","catch_shares","catch_share_types","itq","ivq","ieq","iq","turf","coop","open_access","limited_entry","tac","effort_limit","trip_limit","size_limit","season","gear","mpa","sex","species_value","unit_of_value","composite_price","gear_type","gear_type_short","use_of_catch","short_catch_use","species_value_fluctuations","geographic_range_of_fishing_acti","range_spatially_defined","short_range","home_port","processed","cooperative_present","nested_fishery","programs_for_coop_formation","marketing","profit_sharing","cooperative_administration","coharvest","cooperative_tac","cooperative_gear_restrictions","cooperative_size_limit","gear_sharing","direct_enforcement","codified_penalties","temporal_no_take","spatial_no_take","restocking","habitat_restoration","gear_shift","by_catch_avoidance","research_support","information_sharing","coop_behaviors","coop_form_date","vessels_coop","short_vessels","participants_coop","short_participants","landings_coop","landing_units","short_landings","fishing_season_coop","ecosystem_engineering","reporting","spatial","quota","temporal","gear0","gov_ambivalent","gov_undermining","gov_supportive","degree_of_comanagement","transfer_rights","services_provided","legal_protection_standing","enforcement","support_of_voluntary_regs","financial_services","information_support","conditions_for_cooperative_exist","sunset_clause","oecd","oneper","comment_about_vulnerability","sea_level_vulnerability","sea_temp_vulnerability","ocean_acidification_vulnerability","ozone_uv_vulnerability","recovery_time","lat","lon","temps"
1,NA,1,FALSE,NA,"jacks","Carangidae spp",NA,NA,NA,NA,NA,NA,NA,NA,NA,"finfish - reef","coral reef","reef-associated","coral reef","carnivore","medium","10-100",100,NA,FALSE,NA,NA,FALSE,FALSE,NA,NA,NA,NA,FALSE,"philippines",101833938,1.9,1.89e+11,2090320980,0.011054051,FALSE,0.311910187,0.067,0.638,8,-1.41722644,-0.531200829,118,2.4,TRUE,"turf",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,NA,NA,NA,"artisanal","artisanal","local market","local market",NA,"1.06 km2","1",TRUE,"apo island",FALSE,TRUE,FALSE,NA,FALSE,FALSE,TRUE,NA,FALSE,TRUE,NA,NA,TRUE,NA,FALSE,TRUE,NA,NA,TRUE,FALSE,TRUE,NA,6,1982,NA,NA,"100",100,NA,NA,NA,NA,NA,NA,2,FALSE,0,FALSE,FALSE,FALSE,TRUE,NA,FALSE,TRUE,TRUE,NA,TRUE,NA,TRUE,FALSE,FALSE,FALSE,TRUE,"","2.4","2.8","1.1","0.8","1.1",9.079722222,123.2714278,28.7213354613632
1,NA,1,FALSE,NA,"jacks","Carangidae spp",NA,NA,NA,NA,NA,NA,NA,NA,NA,"finfish - reef","coral reef","reef-associated","coral reef","carnivore","medium","10-100",100,NA,FALSE,NA,NA,FALSE,FALSE,NA,NA,NA,NA,FALSE,"philippines",101833938,1.9,1.89e+11,2090320980,0.011054051,FALSE,0.311910187,0.067,0.638,8,-1.41722644,-0.531200829,118,2.4,TRUE,"turf",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,NA,NA,NA,"artisanal","artisanal","local market","local market",NA,"1.06 km2","1",TRUE,"apo island",FALSE,TRUE,FALSE,NA,FALSE,FALSE,TRUE,NA,FALSE,TRUE,NA,NA,TRUE,NA,FALSE,TRUE,NA,NA,TRUE,FALSE,TRUE,NA,6,1982,NA,NA,"100",100,NA,NA,NA,NA,NA,NA,2,FALSE,0,FALSE,FALSE,FALSE,TRUE,NA,FALSE,TRUE,TRUE,NA,TRUE,NA,TRUE,FALSE,FALSE,FALSE,TRUE,"","2.4","2.8","1.1","0.8","1.1",9.079722222,123.2714278,28.7213354613632
2,NA,1,FALSE,NA,"bignose unicornfish","Naso vlamingii",0.263999999,"medium",60,"reef-associated","0","medium","very questionable: based on ex-vessel price for species in this family","tropical",0,"finfish - reef","coral reef","reef-associated","coral reef","omnivore","medium","1-10",10,NA,TRUE,TRUE,NA,FALSE,FALSE,NA,NA,FALSE,"90",FALSE,"philippines",101833938,1.9,1.89e+11,2090320980,0.011054051,FALSE,0.311910187,0.067,0.638,8,-1.41722644,-0.531200829,118,2.4,TRUE,"turf",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,"medium",NA,"medium","hook and line","hook and line","local market","local market",NA,"1.06 km2","1",TRUE,"apo island",NA,TRUE,FALSE,NA,FALSE,FALSE,TRUE,NA,FALSE,TRUE,NA,NA,TRUE,NA,FALSE,TRUE,NA,NA,TRUE,FALSE,TRUE,NA,6,1982,NA,NA,"100",100,NA,NA,NA,NA,NA,NA,2,FALSE,0,FALSE,FALSE,FALSE,TRUE,NA,FALSE,TRUE,TRUE,NA,TRUE,NA,TRUE,FALSE,FALSE,FALSE,FALSE,"","2.4","2.8","1.1","0.8","1.1",9.079722222,123.2714278,28.7213354613632
2,NA,1,FALSE,NA,"bignose unicornfish","Naso vlamingii",0.263999999,"medium",60,"reef-associated","0","medium","very questionable: based on ex-vessel price for species in this family","tropical",0,"finfish - reef","coral reef","reef-associated","coral reef","omnivore","medium","1-10",10,NA,TRUE,TRUE,NA,FALSE,FALSE,NA,NA,FALSE,"90",FALSE,"philippines",101833938,1.9,1.89e+11,2090320980,0.011054051,FALSE,0.311910187,0.067,0.638,8,-1.41722644,-0.531200829,118,2.4,TRUE,"turf",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,"medium",NA,"medium","hook and line","hook and line","local market","local market",NA,"1.06 km2","1",TRUE,"apo island",NA,TRUE,FALSE,NA,FALSE,FALSE,TRUE,NA,FALSE,TRUE,NA,NA,TRUE,NA,FALSE,TRUE,NA,NA,TRUE,FALSE,TRUE,NA,6,1982,NA,NA,"100",100,NA,NA,NA,NA,NA,NA,2,FALSE,0,FALSE,FALSE,FALSE,TRUE,NA,FALSE,TRUE,TRUE,NA,TRUE,NA,TRUE,FALSE,FALSE,FALSE,FALSE,"","2.4","2.8","1.1","0.8","1.1",9.079722222,123.2714278,28.7213354613632
3,NA,2,FALSE,1,"new zealand southern scallop","Pecten novaezelandiae",NA,NA,NA,NA,NA,NA,NA,NA,NA,"molluscs","subtidal soft bottom","subtidal soft bottom",NA,"filter feeder","medium","0",0,FALSE,TRUE,FALSE,NA,FALSE,TRUE,TRUE,"1981",TRUE,"jun-70",TRUE,"new zealand",4290347,0.88,1.38e+11,1018560844,0.007380876,FALSE,0,NA,0.907,10,0.991906163,1.90990862,9,9.4,TRUE,"itq, qms",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,NA,FALSE,"13.47","nz$/kg","low","dredge","dredge","export","export",NA,"9,631 km2","1",TRUE,NA,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,10,1994,"31",31,NA,NA,"65","tonnes biomass",65,"0",FALSE,2,1,TRUE,0,FALSE,FALSE,FALSE,TRUE,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,"",NA,NA,NA,NA,NA,-40.90832222,173.2019167,14.6630756398663
4,NA,3,FALSE,5,"red crab","Chaceon bicolor",NA,NA,NA,NA,NA,NA,NA,NA,NA,"crustaceans","soft slope (200-2000m)","soft slope",NA,NA,NA,"1-10",10,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,"new zealand",4290347,0.88,1.38e+11,1018560844,0.007380876,FALSE,0,NA,0.907,10,0.991906163,1.90990862,9,9.4,TRUE,"itq, qms",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,NA,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,"trap","trap","export","export","0","large","0",FALSE,NA,NA,TRUE,FALSE,NA,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,7,2007,NA,NA,NA,NA,NA,NA,NA,"0",FALSE,1,0,TRUE,0,FALSE,FALSE,FALSE,TRUE,NA,TRUE,TRUE,TRUE,NA,NA,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,"",NA,NA,NA,NA,NA,-45.44088333,171.2500778,11.4787743641064
4,NA,3,FALSE,5,"red crab","Chaceon bicolor",NA,NA,NA,NA,NA,NA,NA,NA,NA,"crustaceans","soft slope (200-2000m)","soft slope",NA,NA,NA,"1-10",10,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,"new zealand",4290347,0.88,1.38e+11,1018560844,0.007380876,FALSE,0,NA,0.907,10,0.991906163,1.90990862,9,9.4,TRUE,"itq, qms",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,NA,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,"trap","trap","export","export","0","large","0",FALSE,NA,NA,TRUE,FALSE,NA,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,7,2007,NA,NA,NA,NA,NA,NA,NA,"0",FALSE,1,0,TRUE,0,FALSE,FALSE,FALSE,TRUE,NA,TRUE,TRUE,TRUE,NA,NA,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,"",NA,NA,NA,NA,NA,-45.44088333,171.2500778,11.4787743641064
4,NA,3,FALSE,5,"red crab","Chaceon bicolor",NA,NA,NA,NA,NA,NA,NA,NA,NA,"crustaceans","soft slope (200-2000m)","soft slope",NA,NA,NA,"1-10",10,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,"new zealand",4290347,0.88,1.38e+11,1018560844,0.007380876,FALSE,0,NA,0.907,10,0.991906163,1.90990862,9,9.4,TRUE,"itq, qms",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,NA,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,"trap","trap","export","export","0","large","0",FALSE,NA,NA,TRUE,FALSE,NA,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,7,2007,NA,NA,NA,NA,NA,NA,NA,"0",FALSE,1,0,TRUE,0,FALSE,FALSE,FALSE,TRUE,NA,TRUE,TRUE,TRUE,NA,NA,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,"",NA,NA,NA,NA,NA,-45.44088333,171.2500778,11.4787743641064
4,NA,3,FALSE,5,"red crab","Chaceon bicolor",NA,NA,NA,NA,NA,NA,NA,NA,NA,"crustaceans","soft slope (200-2000m)","soft slope",NA,NA,NA,"1-10",10,NA,NA,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,"new zealand",4290347,0.88,1.38e+11,1018560844,0.007380876,FALSE,0,NA,0.907,10,0.991906163,1.90990862,9,9.4,TRUE,"itq, qms",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,NA,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,"trap","trap","export","export","0","large","0",FALSE,NA,NA,TRUE,FALSE,NA,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,7,2007,NA,NA,NA,NA,NA,NA,NA,"0",FALSE,1,0,TRUE,0,FALSE,FALSE,FALSE,TRUE,NA,TRUE,TRUE,TRUE,NA,NA,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,"",NA,NA,NA,NA,NA,-45.44088333,171.2500778,11.4787743641064
5,NA,3,FALSE,5,"spider crab","Jacquinotia edwardsii",NA,NA,NA,NA,NA,NA,NA,NA,NA,"crustaceans","intertidal/soft shelf (30-200m)",NA,NA,"invertivore",NA,"1-10",10,TRUE,TRUE,NA,NA,FALSE,FALSE,FALSE,NA,TRUE,NA,NA,"new zealand",4290347,0.88,1.38e+11,1018560844,0.007380876,FALSE,0,NA,0.907,10,0.991906163,1.90990862,9,9.4,TRUE,"itq, qms",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,NA,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,"trap","trap","export","export",NA,"large","0",FALSE,NA,NA,TRUE,FALSE,NA,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,7,2007,NA,NA,NA,NA,"29.592","tonnes biomass",29.592,"0",FALSE,1,0,TRUE,0,FALSE,FALSE,FALSE,TRUE,NA,TRUE,TRUE,TRUE,NA,NA,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,"",NA,NA,NA,NA,NA,-45.44088333,171.2500778,11.4787743641064
